date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:56	119/119	---M-Z	404	error ('Not%20Found')	text/html	etag:%22e0104-7b-510fc74fb9100%22	https://wss.kseb.in/robots.txt		(from )
14:31:58	25588/25588	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jun%202020%2010:30:31%20GMT	https://wss.kseb.in/selfservices/	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/index.html	(from )
14:31:59	3406/3406	---M--	200	added ('OK')	image/png	etag:%22e053c-d4e-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-57x57.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-57x57.png	(from https://wss.kseb.in/selfservices/)
14:32:00	11619/11619	---M--	200	added ('OK')	image/png	etag:%22e0540-2d63-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-114x114.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-114x114.png	(from https://wss.kseb.in/selfservices/)
14:32:01	4722/4722	---M--	200	added ('OK')	image/png	etag:%22e0539-1272-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-72x72.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-72x72.png	(from https://wss.kseb.in/selfservices/)
14:32:02	14434/14434	---M--	200	added ('OK')	image/png	etag:%22e0542-3862-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-144x144.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-144x144.png	(from https://wss.kseb.in/selfservices/)
14:32:02	3226/3226	---M--	200	added ('OK')	image/png	etag:%22e053a-c9a-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-60x60.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-60x60.png	(from https://wss.kseb.in/selfservices/)
14:32:04	9119/9119	---M--	200	added ('OK')	image/png	etag:%22e0536-239f-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-120x120.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-120x120.png	(from https://wss.kseb.in/selfservices/)
14:32:17	5585/5585	---M--	200	added ('OK')	image/png	etag:%22e0545-15d1-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-76x76.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-76x76.png	(from https://wss.kseb.in/selfservices/)
14:32:36	17477/17477	---M--	200	added ('OK')	image/png	etag:%22e053f-4445-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-152x152.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/apple-touch-icon-152x152.png	(from https://wss.kseb.in/selfservices/)
14:32:37	29659/29659	---M--	200	added ('OK')	image/png	etag:%22e0544-73db-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/favicon-196x196.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/favicon-196x196.png	(from https://wss.kseb.in/selfservices/)
14:32:38	6687/6687	---M--	200	added ('OK')	image/png	etag:%22e053b-1a1f-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/favicon-96x96.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/favicon-96x96.png	(from https://wss.kseb.in/selfservices/)
14:32:38	1291/1291	---M--	200	added ('OK')	image/png	etag:%22e053e-50b-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/favicon-32x32.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/favicon-32x32.png	(from https://wss.kseb.in/selfservices/)
14:32:39	612/612	---M--	200	added ('OK')	image/png	etag:%22e0541-264-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/favicon-16x16.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/favicon-16x16.png	(from https://wss.kseb.in/selfservices/)
14:32:39	8758/8758	---M--	200	added ('OK')	image/png	etag:%22e0535-2236-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/favicon-128.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/favicon-128.png	(from https://wss.kseb.in/selfservices/)
14:32:41	14434/14434	---M--	200	added ('OK')	image/png	etag:%22e0538-3862-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/mstile-144x144.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/mstile-144x144.png	(from https://wss.kseb.in/selfservices/)
14:32:44	8758/8758	---M--	200	added ('OK')	image/png	etag:%22e0537-2236-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/mstile-70x70.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/mstile-70x70.png	(from https://wss.kseb.in/selfservices/)
14:32:45	47059/47059	---M--	200	added ('OK')	image/png	etag:%22e053d-b7d3-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/mstile-150x150.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/mstile-150x150.png	(from https://wss.kseb.in/selfservices/)
14:32:47	103805/103805	---M--	200	added ('OK')	image/png	etag:%22e0534-1957d-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/mstile-310x150.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/mstile-310x150.png	(from https://wss.kseb.in/selfservices/)
14:32:50	187252/187252	---M--	200	added ('OK')	image/png	etag:%22e0533-2db74-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/favkseb/mstile-310x310.png	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/favkseb/mstile-310x310.png	(from https://wss.kseb.in/selfservices/)
14:33:58	126696/126696	---M-Z	200	added ('OK')	text/css	etag:%22e0346-1eee8-59e3656c92a40%22	https://wss.kseb.in/selfservices/resources/CSS/Bootstrap/bootstrap.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/CSS/Bootstrap/bootstrap.css	(from https://wss.kseb.in/selfservices/)
14:33:59	63707/63707	---M-Z	200	added ('OK')	text/css	etag:%22e04c0-f8db-5a54a29237675%22	https://wss.kseb.in/selfservices/resources/CSS/homeV12.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/CSS/homeV12.css	(from https://wss.kseb.in/selfservices/)
14:34:00	15529/15529	---M-Z	200	added ('OK')	text/css	etag:%22e0519-3ca9-59e3656d86c80%22	https://wss.kseb.in/selfservices/resources/css_payment/CSS/screenV11.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/css_payment/CSS/screenV11.css	(from https://wss.kseb.in/selfservices/)
14:34:01	4860/4860	---M-Z	200	added ('OK')	text/css	etag:%22e04c6-12fc-5a54a29194111%22	https://wss.kseb.in/selfservices/resources/CSS/enzen.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/CSS/enzen.css	(from https://wss.kseb.in/selfservices/)
14:34:01	1205/1205	---M-Z	200	added ('OK')	text/css	etag:%22e04ae-4b5-5a51db06aaf10%22	https://wss.kseb.in/selfservices/resources/CSS/fonts.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/CSS/fonts.css	(from https://wss.kseb.in/selfservices/)
14:34:02	3567/3567	---M-Z	200	added ('OK')	text/css	etag:%22e04b5-def-59e3656c92a40%22	https://wss.kseb.in/selfservices/resources/CSS/Components/UI.css	E:/KSEB%20SITE/kseb/wss.kseb.in/selfservices/resources/CSS/Components/UI.css	(from https://wss.kseb.in/selfservices/)
